M3U Channel,method,tvg-id
beIN Sports ID 3,BOLA_NO_EPG,internal_03354a2d
beIN Sports ID 4,BOLA_NO_EPG,internal_346ddc9a
beIN Sports ID 5,BOLA_NO_EPG,internal_d664477c
BeIN Sports AU 1,BOLA_NO_EPG,internal_b97752b0
BeIN Sports AU 2,BOLA_NO_EPG,internal_49e540b3
BeIN Sports AU 3,BOLA_NO_EPG,internal_a95b8e41
Peacock Premier League,BOLA_NO_EPG,internal_74a30334
TNT SPORTS 1,BOLA_NO_EPG,internal_519e5f38
TNT SPORTS 2,BOLA_NO_EPG,internal_1b7fce1c
TNT SPORTS 3,BOLA_NO_EPG,internal_7d53d307
TNT SPORTS 4,BOLA_NO_EPG,internal_4f81c4ba
SKY SPORTS LALIGA,BOLA_NO_EPG,internal_ebad0a17
SKY SPORTS BUNDESLIGA,BOLA_NO_EPG,internal_b2e072cb
Sky Sport F1,BOLA_NO_EPG,internal_83e86a2c
Sky Sport Racing,BOLA_NO_EPG,internal_88be6543
SkySportMotoGP,BOLA_NO_EPG,internal_68780f69
SkySportF1,BOLA_NO_EPG,internal_fb49753e
SkySportsPremiereLeague,BOLA_NO_EPG,internal_3ad7bcfe
SkySportsLaliga,BOLA_NO_EPG,internal_6b0a2c3c
SkySportsFootball,BOLA_NO_EPG,internal_217c8da9
SkySportBundesliga,BOLA_NO_EPG,internal_57b82033
",CHAMPIONS TV 1",BOLA_NO_EPG,internal_899d16ac
",CHAMPIONS TV 2",BOLA_NO_EPG,internal_26c570f9
",CHAMPIONS TV 2 (BACKUP)",BOLA_NO_EPG,internal_98627dfd
",CHAMPIONS TV 3",BOLA_NO_EPG,internal_8e959a4f
",CHAMPIONS TV 5",BOLA_NO_EPG,internal_58264527
",CHAMPIONS TV 6",BOLA_NO_EPG,internal_64b9e345
",FOOTBALL TV",BOLA_NO_EPG,internal_3f742c31
