M3U Channel,assigned tvg-id
ESPN DEPORTES,internal_6ad10b9d
ESPN U,internal_5a04e5bb
Abu Dhabi Sports TV 1,internal_270d5f04
Abu Dhabi Sports TV 2,internal_7d823f9c
Bahrain Sports 1,internal_3bb6df83
Bahrain Sports 2,internal_fe0e76e6
DUBAI SPORTS 1,internal_62d8d9fa
DUBAI SPORTS 2,internal_283d43ff
DUBAI SPORTS 3,internal_3d81a69d
PEACOCK TV,internal_f6cc8ad0
FANCODE TV,internal_e07ebd86
TyC SPORTS,internal_78a224f4
W-SPORT,internal_0b907a68
GO3 SPORT OPEN,internal_c36e5c24
GO3 SPORT 1,internal_22568781
GO3 SPORT 2,internal_435592c3
EUROSPORT,internal_47a3eff0
BLUE SPORT 1,internal_07e0b95e
BLUE SPORT 2,internal_e46818fe
"group-title=""SPORTS"", NBA PHILIPPINES",internal_4ec0c9fb
ONE SPORTS ᴴᴰ,internal_a7b7f09e
ONE SPORTS+,internal_1d323264
SUPER SPORT 1,internal_d99a6285
SUPER SPORT 2,internal_583b04b3
SUPER SPORT 3,internal_e0fffd54
TRACE SPORTS,internal_5bb137a3
FIFA+ SPORT,internal_dcd421cd
MUTV ᴴᴰ,internal_35051ac7
REAL MADRID TV ᴴᴰ,internal_dcbe5fdd
BARCA TV ᴴᴰ,internal_2130d3b3
INTER TV ᴴᴰ,internal_c0980846
MILAN TV ᴴᴰ,internal_b1c0df8b
VOOSPORT ᴴᴰ,internal_d4bdf357
BILLIYARD TV,internal_995e0543
WWE ᴴᴰ,internal_157c7111
WWE NXT ᴴᴰ,internal_7cd17a4d
IMPACT! WRESTLING,internal_4274b8df
BELLATOR MMA,internal_28690802
GLORY KICKBOXING,internal_0f25f657
BOXING TV,internal_f84da20c
FIGHT NETWORK,internal_560d598f
UNIFI SPORTS,internal_257f537d
FIGHT SPORTS,internal_fbf2b99c
UNIFI SPORTS,internal_257f537d
XTREM SPORTS,internal_46991f76
MOTOR RACING TV,internal_14341ba5
DUBAI RACING,internal_22cd1238
DUBAI RACING 2,internal_1b0d405f
HORSE RACING,internal_7075b161
HORSE TV,internal_03710042
REDBULL TV,internal_27fdeadf
FISHING TV,internal_c6b3c6db
JUST FISHING,internal_eac15517
PGA TOUR,internal_6b54e32f
JOJ SPORT ᴴᴰ,internal_eed12a2a
MOTORVISION TV,internal_831dac76
SHARJAH SPORT,internal_ea13c7f4
OMAN SPORT,internal_45336889
RAI SPORTS ᴴᴰ,internal_ed8ad886
SETANTA SPORT,internal_d7a69181
TEN SPORTS ᴴᴰ,internal_bc6d66a5
SPORT 1,internal_ca1e06bf
SPORT 2,internal_3aa44250
ZIGGO SPORT 2,internal_e353c2ce
ARENA PREMIUM 1,internal_e333fb8d
ARENA PREMIUM 2,internal_1d5e3e44
FUBO SPORTS 1,internal_0a89ad62
FUBO SPORTS 2,internal_2dc9554d
TVRI SPORT,internal_8603b68c
Sportstars 1,internal_5e18fce8
Sportstars 1,internal_5e18fce8
Sportstars 2,internal_05504a6d
Sportstars 2 HD,internal_e66a25a7
Sportstars 3,internal_64afba52
Sportstars 4,internal_bba88515
Eurosport Asia,internal_3e1d66e3
FIGHT SPORTS HD,internal_c735781b
MOTOR VISION+,internal_098ea904
MOTOR RACING TV,internal_14341ba5
W-SPORT,internal_0b907a68
Sukan TV,internal_1914915e
OKEY TV,internal_0d565c41
SONY SPORTS TEN 1 HD,internal_43dce34d
USA,internal_f75d91cd
SportTV 1,internal_8df60812
SportTV 2,internal_683282eb
SportTV 3,internal_939612b9
Prima Sport 1,internal_9ca2f24c
Prima Sport 2,internal_36bb147f
Prima Sport 3,internal_a2cb9b9f
Prima Sport 4,internal_31b42198
Prima Sport 5,internal_251ea77c
DGS 1,internal_32588b82
DGS 2,internal_2098bbc4
DGS 3,internal_94280a7d
DGS 4,internal_d0ab1447
FUBO SPORTS 1,internal_0a89ad62
FUBO SPORTS 2,internal_2dc9554d
TSN 1,internal_40beacf0
TSN 2,internal_bc42f627
TSN 3,internal_418e4380
TSN 4,internal_217ba763
TSN 5,internal_feca97a9
FOX SPORTS 1,internal_1a598bf1
FOX SPORTS 2,internal_d632a345
FOX SPORTS 3,internal_6f142cd9
FOX SPORTS PREMIUM,internal_7eed6dd7
Dubai Sports 1,internal_05a959d2
Dubai Sports 2,internal_e914bc65
Dubai Sports 3,internal_663c6365
IMPACT! Wrestling,internal_bdba070c
Motorvision TV,internal_cede82fe
Red Bull TV,internal_b8b3000e
MUTV,internal_50e67d46
Real Madrid TV,internal_866d51e7
ONE SPORTS HD,internal_5c54bd7f
ONE SPORTS+,internal_1d323264
UNIFI SPORTS,internal_257f537d
SLOVAKIA: Nova Sport 1,internal_77667d06
SLOVAKIA: Nova Sport 2,internal_b821d2c9
SLOVAKIA: SPORT 1,internal_be59598e
SLOVAKIA: SPORT 2,internal_91e77949
DAZN RINGSIDE,internal_e947f879
DAZN FAST+,internal_3ec887a2
DAZN,internal_b16583bb
DAZN 1,internal_cf9f9b2d
DAZN 2,internal_c3c34263
DAZN 3,internal_acef2103
DAZN 4,internal_8ef719b3
",FIGHT SPORTS",internal_c397bfa1
",EUROSPORT",internal_14a1bf8a
",NBA TV",internal_b495499b
",VOLI TV",internal_c885ce1b
",TVRI SPORT",internal_1a12fc00
",W-SPORTS",internal_6b67cad7
",MOTORVISION+",internal_95849def
",WE DO SPORT",internal_58dde32f
",GOLF+",internal_76830a38
",SPORTS TV",internal_2c2d7560
",XTREAM SPORTS",internal_899df90e
",SPEED TV",internal_79bfda0b
",FIGHT TV PREMIUM",internal_6c714494
",PSJ TV",internal_f322fc15
",HORIZON SPORTS",internal_720ecc4e
", RED BULL TV",internal_e7716395
",SPORTS TV TURKEY",internal_6c406d41
